SKU,Name,Category,Dealer Price
U415190090+4035,19X10 CORSAIR 5X115 7.07 40 71.50,Wheels,1125.0
H880192062+4135,19X12 ASCARI 5X120.7 H 8.11 41 70.6,Wheels,750.0
F23719906150,19X9 KNUCKLE 5X120.7 H 5.00 00 72.6,Wheels,439.5
U587208061+01T,20x8 BASTILLE 5X4.75 4.54 01 72.56,Wheels,918.75
U331208061+01TL,20X8 FLARE 5 5X4.75 4.54 01 70.30,Wheels,918.75
U587220561+01T,22x10.5 BASTILLE 5X4.75 5.79 01 72.56,Wheels,1031.25
U313220561+01TL,22X10.5 CHEYENNE 5 5X4.75 5.79 01 70.30,Wheels,1031.25
U313220561+01TR,22X10.5 CHEYENNE 5 5X4.75 5.79 01 70.30,Wheels,1031.25
U524220577+01TR,22X10.5 DESPERADO 6 6X139.7 5.79 1 78.10,Wheels,1031.25
U524220577+01TL,22X10.5 DESPERADO 6 6X139.7 5.79 1 78.10,Wheels,1031.25
U313228561+07TL,22X8.5 CHEYENNE 5 5X4.75 5.03 07 70.30,Wheels,1031.25
U313228561+07TR,22X8.5 CHEYENNE 5 5X4.75 5.03 07 70.30,Wheels,1031.25
U524228577+07TR,22X8.5 DESPERADO 6 6X139.7 5.03 07 78.10,Wheels,1031.25
U3652490B4+25TL,24X9 NEMISIS 5 5X5.5 5.98 25 77.80,Wheels,1143.75
AF142-19853035BKA1,AF142 3PC. 19X8.5 5X108 +35 BLACK,Wheels,906.75
AF142-19953014BKA1,AF142 3PC. 19X9.5 5X108 +14 BLACK,Wheels,906.75
AF173-22105630BRA1,AF173 2PC 22X10 5X112 +30 BRUSHED,Wheels,714.75
AF173-22905624BRA1,AF173 2PC 22X9 5X112 +24 BRUSHED,Wheels,714.75
AF174-22105630BKA1,AF174 2PC 22X10 5X112 +30 G-BLACK,Wheels,613.5
AF174-22905624BKA1,AF174 2PC 22X9 5X112 +24 G-BLACK,Wheels,613.5
AF832-26105004GLA1,AF832 3PC 26X10 5X127 +4 GOLD TINT,Wheels,1837.5
AF832-26905006GLA1,AF832 3PC 26X9 5X127 +6 GOLD TINT,Wheels,1837.5
AF841-2410346NBRLF,AF841 MONO 24X10 5X4.75 -6 BRUSHED LEFT,Wheels,750.0
AF841-2410346NBRRT,AF841 MONO 24X10 5X4.75 -6 BRUSHED RIGHT,Wheels,750.0
AF841-24903405BRLF,AF841 MONO 24X9 5X4.75 +5 BRUSHED LEFT,Wheels,750.0
U387200573+15T,20X10.5 BASTILLE 5 5X5 6.34 15 78.10,Wheels,1031.25
U43020126555,20X12 EL DORADO 5X4.5 P 5.50 -25 66.10,Wheels,750.0
U387208073+01T,20X8 BASTILLE 5 5X5 4.54 01 78.10,Wheels,918.75
U331208061+01TR,20X8 FLARE 5 5X4.75 4.54 01 70.30,Wheels,918.75
U43020856563,20X8.5 EL DORADO 5X4.5 P 6.30 39 66.10,Wheels,750.0
U331209561+01TL,20X9.5 FLARE 5 5X4.75 5.29 01 70.30,Wheels,918.75
U331209561+01TR,20X9.5 FLARE 5 5X4.75 5.29 01 70.30,Wheels,918.75
XA30220573+01TR,22X10.5 DELISH 5X127 H 5.79 01 78.1,Wheels,1031.25
XA30220573+01TL,22X10.5 DELISH 5X127 H 5.79 01 78.1,Wheels,1031.25
U834220573+01TL,22X10.5 STRYKER 5X5 5.79 01 78.10,Wheels,1031.25
U834220573+01TR,22X10.5 STRYKER 5X5 5.79 01 78.10,Wheels,1031.25
U5872285B4+07T,22X8.5 BASTILLE 5X139.7 H 5.03 07 77.80,Wheels,1031.25
XA30228573+07TL,22X8.5 DELISH 5X127 H 5.03 07 78.1,Wheels,1031.25
XA30228573+07TR,22X8.5 DELISH 5X127 H 5.03 07 78.1,Wheels,1031.25
U571228561+07TL,22X8.5 OUTRAGE 5 5X4.75 5.03 07 72.6 L,Wheels,1031.25
U571228561+07TR,22X8.5 OUTRAGE 5 5X4.75 5.03 07 72.6 R,Wheels,1031.25
U834228573+07TL,22X8.5 STRYKER 5X5 5.03 07 78.10,Wheels,1031.25
U834228573+07TR,22X8.5 STRYKER 5X5 5.03 07 78.10,Wheels,1031.25
U825228561+07TR,22X8.5 VILLIAN 5X120.7 H 5.03 07 78.1,Wheels,750.0
X117240061+05TL,24X10 COJONES 5X4.75 H 5.70 05 70.30,Wheels,1143.75
X117240061+05TR,24X10 COJONES 5X4.75 H 5.70 05 70.30,Wheels,1143.75
U587249077+25T,24X9 BASTILLE 6X139.7 H 5.98 25 78.1,Wheels,1143.75
X117249061+01TL,24X9 COJONES 5X4.75 H 5.04 01 70.30,Wheels,1143.75
X117249061+01TR,24X9 COJONES 5X4.75 H 5.04 01 70.30,Wheels,1143.75
U3652490B4+25TR,24X9 NEMISIS 5 5X5.5 5.98 25 77.80,Wheels,1143.75
